r,H2O_B1-H2O_B1,H2O_B1-C12_B1,H2O_B1-C12_B2,H2O_B1-C12_B3,H2O_B1-C12_B4,H2O_B1-C4H_B1,H2O_B1-C4H_B2,C12_B1-C12_B1,C12_B1-C12_B2,C12_B1-C12_B3,C12_B1-C12_B4,C12_B1-C4H_B1,C12_B1-C4H_B2,C12_B2-C12_B2,C12_B2-C12_B3,C12_B2-C12_B4,C12_B2-C4H_B1,C12_B2-C4H_B2,C12_B3-C12_B3,C12_B3-C12_B4,C12_B3-C4H_B1,C12_B3-C4H_B2,C12_B4-C12_B4,C12_B4-C4H_B1,C12_B4-C4H_B2,C4H_B1-C4H_B1,C4H_B1-C4H_B2,C4H_B2-C4H_B2
2.45,0.07092537752600757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.55,2.334256647684864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.6500000000000004,11.256959779728701,0.0,0.0,0.0,0.0,0.005112012496670566,0.007668018745005848,0.0,0.0,0.003067207498002364,0.0,0.0,0.0,0.0,0.0,0.0005112012496670607,0.0,0.0,0.0,0.005623213746337667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.75,18.421576210086958,0.0,0.0,0.0,0.0,0.04747029674078784,0.04034975222966967,0.0,0.0,0.024209851337801794,0.0,0.0,0.0,0.0,0.0,0.015190494957052107,0.0,0.0,0.0,0.0460461878385642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.8500000000000005,17.00727923690789,0.0,0.0,0.0,0.0,0.16574184956634197,0.1502726102734834,0.0,0.0,0.06187695717143499,0.0,0.0,0.0,0.0,0.0,0.060993000640414484,0.0,0.0,0.0,0.07469432687123223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.95,12.583028644956288,0.0,0.0004125243328412356,0.0006187864992618534,0.0006187864992618534,0.5589704709998883,0.4764656044316391,0.0,0.0,0.09653069388484913,0.0,0.0,0.0,0.0,0.0,0.08332991523392959,0.0,0.0,0.0,0.08704263422950072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.05,9.094898398821117,0.0015436775822980466,0.0030873551645960932,0.001157758186723535,0.00231551637344707,1.099870277387351,1.1500397988120372,0.0,0.0,0.2384981864650482,0.0,0.0,0.0,0.0,0.0,0.24583065498096393,0.0,0.0,0.0,0.29908753157024653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.1500000000000004,7.1603347581962815,0.006512535638183488,0.009406995921820593,0.006512535638183488,0.005065305496364935,1.6751688891549754,1.5630085531640374,0.0,0.0,0.5734649436956015,0.0,0.0,0.0,0.0,0.0,0.6338868021165261,0.0,0.0,0.0,0.5854045923656046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.25,6.0887547118909575,0.015804732734854405,0.019713430077882912,0.016484506185815883,0.013595469019229594,1.6586472203460128,1.526091397408524,0.0,0.0,0.8609330756427142,0.0,0.0,0.0,0.0,0.0,1.0448117941277943,0.0,0.003398867254807403,0.0,0.7202199712936878,0.0,0.0,0.0,0.0,0.0,0.15106076688032846,0.0,0.0
3.3500000000000005,5.624923286972421,0.03182998300811503,0.03646852324547852,0.02959068772111196,0.030070536711184048,1.4155545207126832,1.3355796890340006,0.0,0.0,0.9776123424401962,0.0,0.0,0.0,0.0,0.0,1.1577156633805858,0.0031989932671473067,0.0031989932671473067,0.0,0.9507407989961595,0.0031989932671473067,0.0,0.0,0.0031989932671473067,0.0,0.0,0.0,0.0
3.45,5.33617667861911,0.06183301925929239,0.07450124759534253,0.05474484388078814,0.05203022352306311,1.1371243054026163,1.1431567950864499,0.0,0.0,2.6527873384657394,0.0,0.003016244841916754,0.006032489683833508,0.0,0.0,2.642230481519031,0.003016244841916754,0.003016244841916754,0.0,3.9129744334185372,0.006032489683833508,0.006032489683833508,0.0,0.0,0.009048734525750262,0.13405532630741468,0.060324896838336306,0.0
